Name;Description;Price;PictureUrl;ProductTypeId;ProductBrandId
Pajak Jacket Pro Storm;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.;200,00;images/products/jc-paj.jpg;1;1
Patagonia Jacket Hoody;Nunc viverra imperdiet enim. Fusce est. Vivamus a tellus.;150,00;images/products/jc-pat.jpg;1;1
Viking Jacket;Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.;180,00;images/products/jc-vik1.jpg;1;2
Viking Jacket Arctic;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.;300,00;images/products/jc-vik2.jpg;1;2
4F Jacket Alpha Wmn;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.;250,00;images/products/jc-4f1.jpg;1;4
4F Jacket Alpha ;Aenean nec lorem. In porttitor. Donec laoreet nonummy augue.;120,00;images/products/jc-4f2.jpg;1;5
4F Maroon Hat;Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.;10,00;images/products/hat-4f1.jpg;2;2
4F Woolen Hat;Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.;8,00;images/products/hat-4f2.jpg;2;4
Pajak Woolen Hat;Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.;15,00;images/products/hat-paj.jpg;2;4
Black Vikings Longsleeve;Nunc viverra imperdiet enim. Fusce est. Vivamus a tellus.;18,00;images/products/long-vik1.jpg;4;3
White Vikings Longsleeve;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.;15,00;images/products/long-vik2.jpg;4;3
Patagonia Longsleeve;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. ;16,00;images/products/long-pat.jpg;4;4
Pajak Longsleeve;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.;14,00;images/products/long-paj.jpg;4;4
Deuter Red Backpack;Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.;250,00;images/products/back-deut1.jpg;3;6
Milo Orange Backpack;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.;189,99;images/products/back-milo1.jpg;3;2
Deuter Green Backpack;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.;199,99;images/products/back-deut2.jpg;3;2
Milo Gray Backpack;Aenean nec lorem. In porttitor. Donec laoreet nonummy augue.;150,00;images/products/back-milo2.jpg;3;1
Deuter Blue Backpack;Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.;180,00;images/products/back-deut3.jpg;3;1
